fact,k_s,pzt,pzm,fnlt,fnlm
5.080984918487771061e-04,2.549685560486391056e-01,2.095070751545252499e-09,2.095471374187585002e-09,-3.535345856501295736e-02,1.151647321479563370e-02
5.093795000511641214e-04,2.556113778969399397e-01,2.094926354164104128e-09,2.095324450261122649e-09,-3.543797969576589074e-02,1.155224837591716305e-02
5.106637379069371187e-04,2.562558204153934094e-01,2.094777427949987540e-09,2.095172639374284693e-09,-3.542089192631396599e-02,1.158813010720623551e-02
5.119512135586363425e-04,2.569018876900021064e-01,2.094629228762775945e-09,2.095025147741395390e-09,-3.541658702166054773e-02,1.162412651695148187e-02
5.132419351693310802e-04,2.575495838170702156e-01,2.094494026104929574e-09,2.094890622213323004e-09,-3.536179160051070025e-02,1.166024563282916718e-02
5.145359109226709448e-04,2.581989129032293828e-01,2.094378810094515965e-09,2.094776076713168460e-09,-3.526145405538859412e-02,1.169649446333303512e-02
5.158331490229383504e-04,2.588498790654649162e-01,2.094286744107595461e-09,2.094686008728418404e-09,-3.522699299342359203e-02,1.173287836094328955e-02
5.171336576950993609e-04,2.595024864311414325e-01,2.094225240491727862e-09,2.094621818976530867e-09,-3.534217742196456985e-02,1.176940024237897904e-02
5.184374451848583346e-04,2.601567391380301131e-01,2.094190056345228238e-09,2.094581613200073885e-09,-3.518585553541719174e-02,1.180606060526991768e-02
5.197445197587069292e-04,2.608126413343335170e-01,2.094163005658303192e-09,2.094560416728091287e-09,-3.511979006815817844e-02,1.184285705191350652e-02
5.210548897039788546e-04,2.614701971787128931e-01,2.094149185012618888e-09,2.094550782744890223e-09,-3.507616953149676753e-02,1.187978538485140630e-02
5.223685633289013724e-04,2.621294108403141032e-01,2.094152921523270915e-09,2.094543722790307385e-09,-3.509730501547889125e-02,1.191683944699696227e-02
5.236855489626485302e-04,2.627902864987942122e-01,2.094135390077067908e-09,2.094529846220711206e-09,-3.508649916844245459e-02,1.195401271779179993e-02
5.250058549553937451e-04,2.634528283443480778e-01,2.094096062162867882e-09,2.094500565412156894e-09,-3.508216315821117287e-02,1.199129882631161381e-02
5.263294896783623882e-04,2.641170405777344965e-01,2.094049570482440446e-09,2.094449211809347096e-09,-3.500000831279621166e-02,1.202869273359953931e-02
5.276564615238856686e-04,2.647829274103035146e-01,2.093976558452847814e-09,2.094371915573079855e-09,-3.491595190547846367e-02,1.206619192396593196e-02
5.289867789054531096e-04,2.654504930640224636e-01,2.093869821189773944e-09,2.094268134441101886e-09,-3.494036403155038883e-02,1.210379445949990966e-02
5.303204502577662160e-04,2.661197417715032154e-01,2.093742501510941983e-09,2.094140741513800033e-09,-3.483570252315221216e-02,1.214150446998162741e-02
5.316574840367918175e-04,2.667906777760286618e-01,2.093595346369281009e-09,2.093995678004935690e-09,-3.490366648819324263e-02,1.217932667611202127e-02
5.329978887198159529e-04,2.674633053315798592e-01,2.093440466450306174e-09,2.093841183578653159e-09,-3.483052141577721444e-02,1.221726848505102700e-02
5.343416728054972134e-04,2.681376287028628957e-01,2.093296587014245782e-09,2.093686715745855918e-09,-3.466029914777153664e-02,1.225533858379949936e-02
5.356888448139210607e-04,2.688136521653359812e-01,2.093144535792251784e-09,2.093541691791803975e-09,-3.481211709398231852e-02,1.229354620782040740e-02
5.370394132866534954e-04,2.694913800052365360e-01,2.093015373213698142e-09,2.093414220931261329e-09,-3.476876915398147833e-02,1.233189961959168558e-02
5.383933867867954836e-04,2.701708165196083922e-01,2.092912305761529556e-09,2.093309997837365738e-09,-3.466755150074008612e-02,1.237040569756420530e-02
5.397507738990368420e-04,2.708519660163288267e-01,2.092834657440742658e-09,2.093231510968677015e-09,-3.458276090345832610e-02,1.240906827182525207e-02
5.411115832297113152e-04,2.715348328141363177e-01,2.092779079318337746e-09,2.093177679231535157e-09,-3.465388706826236231e-02,1.244788858268991091e-02
5.424758234068503522e-04,2.722194212426574111e-01,2.092744854529436977e-09,2.093143974283353979e-09,-3.453805815916945188e-02,1.248686467295282918e-02
5.438435030802387261e-04,2.729057356424346437e-01,2.092723466312224243e-09,2.093123020195882280e-09,-3.462423510220231232e-02,1.252599193926782171e-02
5.452146309214684185e-04,2.735937803649536315e-01,2.092710318767916631e-09,2.093105595470490762e-09,-3.447977847416699992e-02,1.256526386529802780e-02
5.465892156239943482e-04,2.742835597726711039e-01,2.092684902896061653e-09,2.093081904292541457e-09,-3.447169096790238252e-02,1.260467311540809481e-02
