Nout,K,MPP Pz,PyT Pz,MPP fNL,PyT fNL
9.6,8537.227525510683,9.408626528940198e-05,9.018336646676563e-05,0.027022508022958237,174800.76163213383
9.64,8885.638389740887,8.32201008517434e-05,7.988608389799265e-05,0.027137583122296662,174739.48690712877
9.68,9248.26817105345,7.360190556302542e-05,7.056033610027523e-05,0.027254982300042512,174528.7498048275
9.72,9625.697154461648,6.51000596683553e-05,6.241941531574433e-05,0.027372518510435286,174568.31940254872
9.76,10018.529306859287,5.757428464087714e-05,5.519091960833344e-05,0.027492572781439833,174532.2142446045
9.8,10427.39324349672,5.09205527184592e-05,4.881182679401214e-05,0.027613597618142915,174424.32906719865
9.84,10852.943233899203,4.503657347637736e-05,4.315313001132817e-05,0.0277359077873969,174348.57606235234
9.88,11295.860248837851,3.9828797882233176e-05,3.818272097374923e-05,0.027859487381966034,174588.6070216963
9.92,11756.853050028101,3.522566438204168e-05,3.381193662305834e-05,0.027984914521070395,174441.81142951513
9.96,12236.659324299608,3.115132050412973e-05,2.9874700755074928e-05,0.028111730081047438,173663.47590396294
10.0,12736.046864052596,2.7549305997726747e-05,2.6420000067941923e-05,0.028239422110307562,173778.47106530354
10.04,13255.814795889532,2.436415060519461e-05,2.3353264837977606e-05,0.02836941906277827,174701.04058015833
10.08,13796.794859388157,2.154529564871643e-05,2.0652686768856138e-05,0.028500455684861568,174531.7319529415
10.12,14359.852738062167,1.9053827805333184e-05,1.827110828543965e-05,0.028633081903847134,174714.51129944745
10.16,14945.889444639592,1.684946606154214e-05,1.6157507180391836e-05,0.028767438876631492,174622.5549961913
10.2,15555.842762875418,1.4899437086529553e-05,1.4301692375758713e-05,0.02890271751900796,174667.91275729268
10.24,16190.68874820563,1.317579744631927e-05,1.2631879249469312e-05,0.029040074907886942,175049.64744365704
10.28,16851.443289644056,1.1650527891190349e-05,1.1168162494081107e-05,0.02917893330747677,174565.31884658852
10.32,17539.16373542158,1.0302465774806435e-05,9.879867758382652e-06,0.029319539426446856,174605.63911374082
10.36,18254.95058496895,9.10984482611848e-06,8.736248906812608e-06,0.029461544072523053,174632.45543395303
10.4,18999.949249950587,8.054918611491584e-06,7.724463608494797e-06,0.029604804081021414,174461.02307091941
10.44,19775.351887167526,7.122502479154337e-06,6.829422632293283e-06,0.029750123829752756,174409.5476831462
10.48,20582.399306262716,6.297481418858128e-06,6.038169530167356e-06,0.029897014148937757,174435.93240398576
10.52,21422.38295528122,5.568345704007926e-06,5.337359621086755e-06,0.03004509241343517,172733.00277660368
10.56,22296.646987262517,4.923340272527723e-06,4.719159981493162e-06,0.030195471896035934,172810.79257532198
10.60,23206.59041117208,4.3528578939013344e-06,4.1737198900859276e-06,0.030347380532556225,174388.25564898003
